W1,W2,W3,W4,Cue_Word,Cue_Pos,Cue
重要性,运输车,科学馆,销售额,1,1,要
保险箱,高利贷,纪念碑,参谋掌,1,1,险
营业员,太阳能,神经元,责任感,1,1,业
抗生素,保险箱,黑板报,营业员,1,1,生
锦标赛,主人翁,自来水,科学家,1,1,标
耗奇心,银河系,太阳能,免税店,1,1,奇
护理员,录音机,神经元,灵敏度,1,1,理
畜牧业,保温杯,护理员,紫外线,1,1,牧
障碍物,超声波,手榴弹,发动机,1,1,碍
乒乓球,主人翁,直辖市,收音机,1,1,乓
魔术师,接待室,志愿军,传感器,1,1,术
社会学,运输车,婚姻法,直辖市,1,1,会
玻璃杯,马铃薯,鼓风机,氨基酸,1,1,璃
设计图,介绍信,化妆品,收音机,1,1,计
冷空气,技术员,写字台,副作用,1,1,空
留学生,农业社,电动车,放映厅,1,1,学
面包机,宇航员,进行曲,排球赛,1,1,包
联合国,奴隶制,猫头鹰,责任感,1,1,合
风向标,电动车,西红柿,出版社,1,1,向
合唱团,蒸馏水,绘画展,儿童节,1,1,唱
主人翁,紫外线,保温杯,同位素,1,1,人
俱乐部,太阳能,价值观,方程式,1,1,乐
录音机,免税店,电动车,广播站,1,1,音
收银台,耗奇心,连锁店,党中央,1,1,银
乘务员,广播站,宇航员,交通灯,1,1,务
男籽汉,设计图,猫头鹰,保险箱,1,1,籽
猫头鹰,录音机,介绍信,广播站,1,1,头
直辖市,办事处,计算题,猫头鹰,1,1,辖
儿童节,营业员,生产线,穿山甲,1,1,童
会议室,救护车,办事处,传感器,1,1,议
蒸馏水,党中央,核电站,写字台,1,1,馏
消费者,暴风雨,单细胞,同位素,1,1,费
收音机,合唱团,相对论,变压器,1,1,音
葡萄糖,核电站,交响悦,留学生,1,1,萄
火车票,摄影师,马铃薯,青哨年,1,1,车
农业社,气象站,收音机,广告牌,1,1,业
理工科,神经元,练习册,障碍物,1,1,工
穿山甲,消费者,神经元,俱乐部,1,1,山
高利贷,奴隶制,航天员,传叫士,1,1,利
排球赛,创造力,电动车,反动派,1,1,球
防火墙,海平面,创造力,航天员,1,1,火
救护车,广播站,黑板报,录取线,1,2,车
生产线,天花板,参考书,幼儿园,1,2,线
公安局,化妆品,工艺品,超声波,1,2,局
纪念碑,运输车,笔记本,图书馆,1,2,碑
储蓄卡,收银台,教师节,穿山甲,1,2,卡
面包机,传感器,核电站,副作用,1,2,机
动物园,党中央,参考书,消费者,1,2,园
收银台,冷空气,玻璃杯,相对论,1,2,台
抗生素,婚姻法,魔术师,放映厅,1,2,素
护理员,乘务员,乒乓球,打字员,1,2,员
葡萄糖,建设部,绘画展,直辖市,1,2,糖
暴风雨,抗生素,自然界,收银台,1,2,雨
工艺品,方程式,创造力,动物园,1,2,品
人行道,进行曲,民主党,技术员,1,2,道
建设部,毕业证,铁矿石,运输车,1,2,部
招待所,补习班,社会学,相对论,1,2,所
营业员,放大镜,高利贷,保温杯,1,2,员
爆破队,储蓄卡,煤气灶,出版社,1,2,队
传感器,玻璃杯,出版社,放大镜,1,2,器
俱乐部,交响悦,建筑师,发动机,1,2,部
价值观,葡萄糖,生产线,艺术品,1,2,观
电动车,国务院,荧光屏,魔术师,1,2,车
煤气灶,奴隶制,合唱团,玻璃杯,1,2,灶
金黄色,出租车,联合国,救护车,1,2,色
多边形,太阳能,生产线,录取线,1,2,形
鼓风机,冷空气,航天员,传叫士,1,2,机
防火墙,参考书,录音机,理工科,1,2,墙
火车票,男籽汉,党中央,玻璃杯,1,2,票
科学家,手榴弹,化妆品,发动机,1,2,家
超声波,收音机,实验室,科学馆,1,2,波
银河系,自然界,招待所,合唱团,1,2,系
发动机,高血压,直辖市,救护车,1,2,机
内分泌,营业员,纪念碑,马铃薯,1,2,泌
设计图,储蓄卡,排球赛,科学馆,1,2,图
乒乓球,建设部,免税店,社会学,1,2,球
自然界,传感器,放映厅,金黄色,1,2,界
气象站,放映厅,锦标赛,催化剂,1,2,站
出租车,广播剧,摄影师,放大镜,1,2,车
交响悦,旅游团,会议室,化妆品,1,2,悦
放映厅,玻璃杯,参谋掌,创造力,1,2,厅
交通灯,荧光屏,葡萄糖,抗生素,1,2,灯
工艺品,毕业证,护理员,猫头鹰,2,0,毕
运输车,公安局,理工科,手榴弹,2,0,公
抗生素,介绍信,电冰箱,建设部,2,0,介
艺术品,内分泌,菜市场,俱乐部,2,0,内
旅游团,同位素,民主党,国务院,2,0,同
保温杯,男籽汉,副作用,化妆品,2,0,男
毕业证,进行曲,重要性,核电站,2,0,进
西红柿,神经元,太阳能,气象站,2,0,神
补习班,设计图,办事处,高利贷,2,0,设
加工厂,反动派,保温杯,重要性,2,0,反
穿山甲,畜牧业,青哨年,摄影师,2,0,畜
重要性,技术员,方程式,研究生,2,0,技
联合国,新闻稿,传感器,自然界,2,0,新
黑板报,防火墙,交通灯,传叫士,2,0,防
练习册,建筑师,单细胞,社会学,2,0,建
方程式,志愿军,副作用,代表团,2,0,志
国务院,冷空气,新闻稿,广播站,2,0,冷
面包机,灵敏度,锦标赛,免税店,2,0,灵
煤气灶,办事处,检察官,黑板报,2,0,办
责任感,打字员,放映厅,国务院,2,0,打
交响悦,科学馆,航天员,冷空气,2,0,科
防火墙,接待室,穿山甲,合唱团,2,0,接
抗生素,写字台,葡萄糖,交通灯,2,0,写
超声波,放映厅,障碍物,建设部,2,0,放
猫头鹰,淋巴结,消费者,同位素,2,0,淋
玻璃杯,国务院,联合国,理工科,2,0,国
变压器,主人翁,自来水,会议室,2,0,主
望远镜,风向标,广告牌,摄影师,2,0,风
化妆品,乒乓球,超声波,储蓄卡,2,0,乒
变压器,青哨年,参谋掌,工艺品,2,0,青
签名册,鼓风机,主人翁,防火墙,2,0,鼓
鼓风机,蒸馏水,储蓄卡,国务院,2,0,蒸
灵敏度,方程式,副作用,传感器,2,0,方
火车票,销售额,责任感,农业社,2,0,销
病原体,工艺品,障碍物,冷空气,2,0,工
感染源,图书馆,呼吸道,联合国,2,0,图
青哨年,航天员,人行道,签名册,2,0,航
幼儿园,葡萄糖,儿童节,保险箱,2,0,葡
多边形,摄影师,党中央,灵敏度,2,0,摄
金黄色,免疫力,青哨年,民主党,2,0,免
科学家,补习班,检察官,创造力,2,0,补
毕业证,铁矿石,新闻稿,普通话,2,2,石
金黄色,魔术师,感染源,天花板,2,2,师
黑板报,科学馆,免税店,普通话,2,2,馆
绘画展,同位素,公安局,招待所,2,2,素
留学生,传叫士,加工厂,葡萄糖,2,2,士
会议室,核电站,交响悦,马铃薯,2,2,站
建筑师,录取线,图书馆,练习册,2,2,线
单细胞,民主党,教师节,灵敏度,2,2,党
神经元,责任感,灵敏度,铁矿石,2,2,感
联合国,参考书,反动派,煤气灶,2,2,书
招待所,广告牌,传叫士,科学家,2,2,牌
荧光屏,免税店,出版社,救护车,2,2,店
灵敏度,畜牧业,爆破队,化妆品,2,2,业
图书馆,理工科,风向标,爆破队,2,2,科
暴风雨,接待室,冷空气,传感器,2,2,室
毕业证,手榴弹,接待室,催化剂,2,2,弹
核电站,创造力,摄影师,技术员,2,2,力
锦标赛,天花板,保险箱,会议室,2,2,板
幼儿园,留学生,宇航员,招待所,2,2,生
广告牌,冷空气,公安局,科学馆,2,2,气
障碍物,联合国,魔术师,动物园,2,2,国
护理员,广播站,免疫力,技术员,2,2,站
免税店,化妆品,收音机,婚姻法,2,2,品
催化剂,宇航员,菜市场,理工科,2,2,员
鼓风机,催化剂,农业社,抗生素,2,2,剂
志愿军,呼吸道,望远镜,消费者,2,2,道
畜牧业,保温杯,参考书,化妆品,2,2,杯
催化剂,主人翁,交通灯,广播站,2,2,翁
消费者,代表团,补习班,打字员,2,2,团
氨基酸,太阳能,紫外线,反动派,2,2,能
荧光屏,实验室,人行道,魔术师,2,2,室
黑板报,紫外线,民主党,进行曲,2,2,线
冷空气,广播剧,男籽汉,价值观,2,2,剧
传叫士,西红柿,病原体,穿山甲,2,2,柿
理工科,保险箱,视网膜,笔记本,2,2,箱
方程式,进行曲,社会学,录音机,2,2,曲
责任感,儿童节,气象站,进行曲,2,2,节
创造力,技术员,图书馆,办事处,2,2,员
救护车,单细胞,民主党,爆破队,2,2,胞
内分泌,电冰箱,社会学,打字员,2,2,箱
副作用,自来水,录取线,冷空气,2,2,水
抗生素,自然界,病原体,排球赛,3,0,病
防火墙,介绍信,护理员,单细胞,3,0,护
储蓄卡,乒乓球,免税店,计算题,3,0,免
穿山甲,参考书,出版社,毕业证,3,0,出
暴风雨,青哨年,菜市场,紫外线,3,0,菜
联合国,交响悦,创造力,民主党,3,0,创
防火墙,葡萄糖,纪念碑,录音机,3,0,纪
公安局,淋巴结,呼吸道,神经元,3,0,呼
教师节,录音机,面包机,婚姻法,3,0,面
广播站,护理员,乘务员,生产线,3,0,乘
检察官,补习班,交通灯,魔术师,3,0,交
绘画展,金黄色,幼儿园,传叫士,3,0,幼
会议室,检察官,俱乐部,收音机,3,0,俱
出租车,银河系,核电站,葡萄糖,3,0,核
西红柿,副作用,建设部,录音机,3,0,建
变压器,玻璃杯,感染源,重要性,3,0,感
录音机,练习册,广播剧,人行道,3,0,广
连锁店,生产线,收音机,计算题,3,0,收
蒸馏水,人行道,放大镜,旅游团,3,0,放
菜市场,打字员,营业员,出租车,3,0,营
出版社,建设部,参考书,葡萄糖,3,0,参
自来水,生产线,招待所,责任感,3,0,招
视网膜,耗奇心,保温杯,党中央,3,0,保
氨基酸,发动机,电动车,建筑师,3,0,电
荧光屏,纪念碑,理工科,电动车,3,0,理
交通灯,救护车,交响悦,发动机,3,0,交
紫外线,猫头鹰,艺术品,设计图,3,0,艺
补习班,设计图,救护车,望远镜,3,0,救
出租车,望远镜,副作用,合唱团,3,0,副
火车票,发动机,穿山甲,检察官,3,0,穿
加工厂,检察官,宇航员,写字台,3,0,宇
火车票,招待所,猫头鹰,加工厂,3,0,猫
自然界,介绍信,障碍物,视网膜,3,0,障
玻璃杯,图书馆,参谋掌,进行曲,3,0,参
青哨年,录音机,直辖市,呼吸道,3,0,直
高血压,交响悦,金黄色,畜牧业,3,0,金
民主党,责任感,练习册,留学生,3,0,练
加工厂,风向标,排球赛,同位素,3,0,排
摄影师,广播剧,计算题,冷空气,3,0,计
录音机,连锁店,望远镜,教师节,3,0,望
写字台,储蓄卡,广告牌,创造力,3,0,广
核电站,葡萄糖,金黄色,暴风雨,3,1,黄
煤气灶,公安局,婚姻法,进行曲,3,1,姻
煤气灶,党中央,催化剂,广播站,3,1,化
技术员,免税店,菜市场,艺术品,3,1,市
内分泌,航天员,写字台,旅游团,3,1,字
氨基酸,灵敏度,接待室,视网膜,3,1,待
广播剧,病原体,新闻稿,穿山甲,3,1,闻
连锁店,紫外线,运输车,民主党,3,1,输
重要性,出租车,化妆品,视网膜,3,1,妆
面包机,氨基酸,传感器,摄影师,3,1,感
检察官,抗生素,放大镜,锦标赛,3,1,大
抗生素,补习班,变压器,黑板报,3,1,压
排球赛,畜牧业,代表团,黑板报,3,1,表
俱乐部,练习册,高血压,毕业证,3,1,血
俱乐部,艺术品,救护车,代表团,3,1,护
运输车,婚姻法,多边形,志愿军,3,1,边
设计图,留学生,副作用,交通灯,3,1,作
紫外线,儿童节,储蓄卡,技术员,3,1,蓄
动物园,民主党,责任感,建筑师,3,1,任
化妆品,广告牌,民主党,儿童节,3,1,主
农业社,建筑师,气象站,科学馆,3,1,象
奴隶制,障碍物,图书馆,婚姻法,3,1,书
传叫士,魔术师,录取线,儿童节,3,1,取
科学家,建筑师,毕业证,收音机,3,1,业
科学馆,氨基酸,自然界,内分泌,3,1,然
电冰箱,淋巴结,黑板报,介绍信,3,1,板
研究生,自来水,灵敏度,普通话,3,1,敏
核电站,合唱团,望远镜,单细胞,3,1,远
传叫士,生产线,打字员,连锁店,3,1,字
加工厂,工艺品,纪念碑,爆破队,3,1,念
价值观,煤气灶,病原体,免税店,3,1,原
交响悦,免税店,视网膜,科学馆,3,1,网
民主党,传感器,进行曲,消费者,3,1,行
护理员,纪念碑,免疫力,相对论,3,1,疫
重要性,奴隶制,太阳能,呼吸道,3,1,阳
录音机,马铃薯,单细胞,护理员,3,1,细
耗奇心,病原体,参考书,检察官,3,1,考
灵敏度,绘画展,西红柿,救护车,3,1,红
出租车,紫外线,国务院,建筑师,3,1,务
锦标赛,储蓄卡,技术员,进行曲,3,1,术
手榴弹,动物园,紫外线,煤气灶,3,1,外
