W1,W2,W3,Cue_Word,Cue_Pos,Cue
男籽汉,神经元,参谋掌,1,1,籽
传叫士,荧光屏,障碍物,1,1,叫
笔记本,重要性,视网膜,1,1,记
青哨年,内分泌,视网膜,1,1,哨
铁矿石,猫头鹰,变压器,1,1,矿
出版社,紫外线,公安局,1,1,版
障碍物,锦标赛,方程式,1,1,碍
进行曲,高利贷,催化剂,1,1,行
参谋掌,暴风雨,会议室,1,1,谋
高利贷,电冰箱,畜牧业,1,1,利
公安局,灵敏度,望远镜,1,1,安
葡萄糖,变压器,天花板,1,1,萄
望远镜,呼吸道,乒乓球,1,1,远
男籽汉,病原体,奴隶制,1,1,籽
暴风雨,反动派,太阳能,1,1,风
畜牧业,葡萄糖,淋巴结,1,1,牧
检察官,幼儿园,天花板,1,1,察
创造力,铁矿石,紫外线,1,1,造
相对论,反动派,主人翁,1,1,对
障碍物,幼儿园,电冰箱,1,1,碍
图书馆,锦标赛,手榴弹,1,1,书
研究生,神经元,奴隶制,1,1,究
超声波,招待所,变压器,1,1,声
普通话,主人翁,创造力,1,1,通
淋巴结,幼儿园,研究生,1,1,巴
铁矿石,冷空气,海平面,1,1,矿
奴隶制,葡萄糖,魔术师,1,1,隶
高利贷,手榴弹,党中央,1,1,利
魔术师,检察官,超声波,1,1,术
变压器,氨基酸,俱乐部,1,1,压
望远镜,婚姻法,消费者,1,1,远
锦标赛,录音机,猫头鹰,1,1,标
催化剂,神经元,相对论,1,1,化
销售额,马铃薯,重要性,1,1,售
反动派,工艺品,魔术师,1,1,动
同位素,责任感,西红柿,1,1,位
笔记本,出版社,锦标赛,1,1,记
志愿军,责任感,检察官,1,1,愿
海平面,国务院,西红柿,1,1,平
传叫士,灵敏度,出版社,1,1,叫
俱乐部,检察官,多边形,1,1,乐
科学家,锦标赛,变压器,1,1,学
会议室,志愿军,主人翁,1,1,议
责任感,超声波,直辖市,1,1,任
天花板,俱乐部,太阳能,1,1,花
超声波,视网膜,电冰箱,1,1,声
紫外线,冷空气,交响悦,1,1,外
进行曲,研究生,招待所,1,1,行
电冰箱,宇航员,高利贷,1,1,冰
招待所,灵敏度,葡萄糖,1,1,待
单细胞,责任感,畜牧业,1,1,细
马铃薯,重要性,传叫士,1,1,铃
西红柿,乒乓球,内分泌,1,1,红
神经元,穿山甲,超声波,1,1,经
氨基酸,奴隶制,魔术师,1,1,基
价值观,婚姻法,工艺品,1,1,值
神经元,西红柿,内分泌,1,1,经
蒸馏水,责任感,金黄色,1,1,馏
青哨年,参谋掌,多边形,1,1,哨
马铃薯,催化剂,反动派,1,1,铃
录音机,销售额,障碍物,1,1,音
公安局,魔术师,葡萄糖,1,1,安
直辖市,超声波,创造力,1,1,辖
介绍信,俱乐部,交响悦,1,1,绍
国务院,马铃薯,进行曲,1,1,务
穿山甲,铁矿石,呼吸道,1,1,山
科学家,马铃薯,暴风雨,1,1,学
