W1,W2,W3,Cue_Word,Cue_Pos,Cue,block
揭竿而起,翻天覆地,叶公浩龙,1,1,竿,1
繁花似锦,掩耳盗铃,得不偿失,3,3,失,1
春暖花开,自相矛盾,疾如雷霆,3,3,霆,1
草木皆兵,功败垂成,触类旁通,2,2,垂,1
才高八斗,触类旁通,破釜沉舟,3,1,釜,1
掩耳盗铃,海誓山盟,围魏救赵,2,2,山,1
学而不厌,举案齐眉,千军万马,1,3,厌,1
大雪纷飞,程门立雪,家喻户晓,3,0,家,1
相濡以沫,惊弓之鸟,温故知新,2,0,惊,1
山崩地裂,五湖四海,风起云涌,2,3,海,1
所向披靡,完璧归赵,同甘共苦,2,3,赵,1
精益求精,负荆请罪,气势旁礴,2,2,请,1
笨鸟先飞,悬梁刺股,功亏宜篑,3,3,篑,1
举一反三,叶公浩龙,言而有信,1,1,一,1
琴瑟和鸣,心花怒放,安居乐业,1,1,瑟,1
千军万马,勇往直前,画龙点睛,3,3,睛,1
东施效颦,繁花似锦,负荆请罪,2,2,似,1
声势浩大,四面楚歌,山清水秀,3,3,秀,1
赤胆忠心,海誓山盟,夜以继日,2,0,海,1
刮目相看,舍生取义,春暖花开,3,1,暖,1
草木皆兵,闻鸡起舞,气势旁礴,2,2,起,1
白头偕老,万无一失,功败垂成,2,2,一,1
负荆请罪,胸有成竹,对牛弹琴,2,2,成,1
精益求精,大雪纷飞,日出而作,3,1,出,1
囫囵吞枣,国泰民安,排山倒海,3,0,排,1
半途而废,东施效颦,比翼双飞,2,3,颦,1
卧薪尝胆,盲人摸象,万无一失,3,0,万,1
力争上游,旗开得胜,指鹿围马,2,0,旗,1
学而不厌,围魏救赵,翻天覆地,2,2,救,1
功亏宜篑,日出而作,风和日丽,1,1,亏,1
纸上谈兵,风和日丽,持之以恒,1,2,谈,1
舍己为人,如释重负,马到成功,2,0,如,1
废寝忘食,锐不可当,前功尽弃,1,3,食,1
气势旁礴,刮目相看,千军万马,1,2,旁,1
国泰民安,班门弄斧,滥竽充数,1,3,安,1
喜出望外,绿树成荫,一举两得,1,1,出,1
笨鸟先飞,四面楚歌,翻天覆地,1,3,飞,1
半途而废,一往无前,白雪皑皑,2,2,无,1
举一反三,五湖四海,凿壁偷光,2,0,五,1
得不偿失,温故知新,叶公浩龙,3,0,叶,1
自相矛盾,力争上游,班门弄斧,2,2,上,1
马到成功,家喻户晓,运筹帷幄,1,3,功,2
赤胆忠心,鸟语花香,风和日丽,3,1,和,2
半途而废,五湖四海,肝胆相照,1,3,废,2
功败垂成,走马观花,盲人摸象,2,2,观,2
乐善浩施,画蛇添足,心花怒放,1,2,浩,2
青出于蓝,赤胆忠心,叶公浩龙,1,3,蓝,2
七步成诗,仁至义尽,赤胆忠心,1,2,成,2
大张旗鼓,海誓山盟,马到成功,1,1,张,2
背水宜战,退避三舍,画龙点睛,2,2,三,2
肝胆相照,绿树成荫,笨鸟先飞,1,3,照,2
负荆请罪,心花怒放,一诺千金,2,3,放,2
