design,block_num,trial_dir,word_idx,word_text,item_type,result,timestamp
three_3_syllable_words,1,trial_1,1,蒸馏水,word,y,2026-03-15 14:47:29
three_3_syllable_words,1,trial_1,2,乒乓球,word,y,2026-03-15 14:47:38
three_3_syllable_words,1,trial_1,3,责任感,word,y,2026-03-15 14:47:44
three_3_syllable_words,1,trial_1,cue,水,cue,n,2026-03-15 14:47:50
three_3_syllable_words,1,trial_2,1,神经元,word,y,2026-03-15 14:47:56
three_3_syllable_words,1,trial_2,2,工艺品,word,y,2026-03-15 14:48:01
three_3_syllable_words,1,trial_2,3,主人翁,word,n,2026-03-15 14:48:09
three_3_syllable_words,1,trial_2,cue,主,cue,y,2026-03-15 14:48:13
three_3_syllable_words,1,trial_3,1,魔术师,word,y,2026-03-15 14:48:18
three_3_syllable_words,1,trial_3,2,写字台,word,n,2026-03-15 14:48:24
three_3_syllable_words,1,trial_3,3,反动派,word,y,2026-03-15 14:48:30
three_3_syllable_words,1,trial_3,cue,动,cue,y,2026-03-15 14:48:33
three_3_syllable_words,1,trial_4,1,志愿军,word,y,2026-03-15 14:48:39
three_3_syllable_words,1,trial_4,2,氨基酸,word,n,2026-03-15 14:48:46
three_3_syllable_words,1,trial_4,3,手榴弹,word,n,2026-03-15 14:48:54
three_3_syllable_words,1,trial_4,cue,氨,cue,y,2026-03-15 14:48:58
three_3_syllable_words,1,trial_5,1,直辖市,word,y,2026-03-15 14:49:03
three_3_syllable_words,1,trial_5,2,公安局,word,y,2026-03-15 14:49:09
three_3_syllable_words,1,trial_5,3,天花板,word,y,2026-03-15 14:49:15
three_3_syllable_words,1,trial_5,cue,市,cue,y,2026-03-15 14:49:19
three_3_syllable_words,1,trial_6,1,反动派,word,y,2026-03-15 14:49:24
three_3_syllable_words,1,trial_6,2,银河系,word,y,2026-03-15 14:49:29
three_3_syllable_words,1,trial_6,3,病原体,word,n,2026-03-15 14:49:41
three_3_syllable_words,1,trial_6,cue,派,cue,y,2026-03-15 14:49:45
three_3_syllable_words,1,trial_7,1,进行曲,word,n,2026-03-15 14:49:52
three_3_syllable_words,1,trial_7,2,视网膜,word,y,2026-03-15 14:49:58
three_3_syllable_words,1,trial_7,3,国务院,word,n,2026-03-15 14:50:05
three_3_syllable_words,1,trial_7,cue,膜,cue,y,2026-03-15 14:50:08
three_3_syllable_words,1,trial_8,1,同位素,word,n,2026-03-15 14:50:16
three_3_syllable_words,1,trial_8,2,责任感,word,y,2026-03-15 14:50:21
three_3_syllable_words,1,trial_8,3,西红柿,word,y,2026-03-15 14:50:50
three_3_syllable_words,1,trial_8,cue,位,cue,y,2026-03-15 14:50:54
three_3_syllable_words,1,trial_9,1,呼吸道,word,y,2026-03-15 14:50:59
three_3_syllable_words,1,trial_9,2,金黄色,word,n,2026-03-15 14:51:06
three_3_syllable_words,1,trial_9,3,望远镜,word,y,2026-03-15 14:51:11
three_3_syllable_words,1,trial_9,cue,道,cue,y,2026-03-15 14:51:14
three_3_syllable_words,1,trial_10,1,交响悦,word,n,2026-03-15 14:51:21
three_3_syllable_words,1,trial_10,2,同位素,word,y,2026-03-15 14:51:30
three_3_syllable_words,1,trial_10,3,幼儿园,word,y,2026-03-15 14:51:36
three_3_syllable_words,1,trial_10,cue,儿,cue,y,2026-03-15 14:51:39
three_3_syllable_words,1,trial_11,1,同位素,word,y,2026-03-15 14:51:44
three_3_syllable_words,1,trial_11,2,重要性,word,y,2026-03-15 14:51:49
three_3_syllable_words,1,trial_11,3,参谋掌,word,y,2026-03-15 14:51:56
three_3_syllable_words,1,trial_11,cue,谋,cue,y,2026-03-15 14:51:59
three_3_syllable_words,1,trial_12,1,出版社,word,y,2026-03-15 14:52:04
three_3_syllable_words,1,trial_12,2,紫外线,word,y,2026-03-15 14:52:10
three_3_syllable_words,1,trial_12,3,公安局,word,y,2026-03-15 14:52:16
three_3_syllable_words,1,trial_12,cue,版,cue,y,2026-03-15 14:52:25
three_3_syllable_words,1,trial_13,1,望远镜,word,y,2026-03-15 14:52:37
three_3_syllable_words,1,trial_13,2,金黄色,word,n,2026-03-15 14:52:45
three_3_syllable_words,1,trial_13,3,代表团,word,n,2026-03-15 14:52:53
three_3_syllable_words,1,trial_13,cue,金,cue,y,2026-03-15 14:54:25
three_3_syllable_words,1,trial_14,1,内分泌,word,y,2026-03-15 14:54:31
three_3_syllable_words,1,trial_14,2,科学家,word,y,2026-03-15 14:54:36
three_3_syllable_words,1,trial_14,3,方程式,word,n,2026-03-15 14:54:42
three_3_syllable_words,1,trial_14,cue,泌,cue,n,2026-03-15 14:54:48
three_3_syllable_words,1,trial_15,1,传叫士,word,y,2026-03-15 14:54:53
three_3_syllable_words,1,trial_15,2,荧光屏,word,n,2026-03-15 14:54:59
three_3_syllable_words,1,trial_15,3,障碍物,word,y,2026-03-15 14:55:04
three_3_syllable_words,1,trial_15,cue,叫,cue,y,2026-03-15 14:55:08
three_3_syllable_words,1,trial_16,1,志愿军,word,y,2026-03-15 14:55:13
three_3_syllable_words,1,trial_16,2,氨基酸,word,n,2026-03-15 14:55:20
three_3_syllable_words,1,trial_16,3,代表团,word,y,2026-03-15 14:55:26
three_3_syllable_words,1,trial_16,cue,表,cue,n,2026-03-15 14:55:30
three_3_syllable_words,1,trial_17,1,穿山甲,word,y,2026-03-15 14:55:36
three_3_syllable_words,1,trial_17,2,病原体,word,n,2026-03-15 14:55:42
three_3_syllable_words,1,trial_17,3,超声波,word,y,2026-03-15 14:55:48
three_3_syllable_words,1,trial_17,cue,超,cue,y,2026-03-15 14:55:51
three_3_syllable_words,1,trial_18,1,奴隶制,word,n,2026-03-15 14:55:59
three_3_syllable_words,1,trial_18,2,病原体,word,n,2026-03-15 14:56:04
three_3_syllable_words,1,trial_18,3,荧光屏,word,n,2026-03-15 14:56:10
three_3_syllable_words,1,trial_18,cue,体,cue,n,2026-03-15 14:56:14
three_3_syllable_words,1,trial_19,1,笔记本,word,n,2026-03-15 14:56:21
three_3_syllable_words,1,trial_19,2,写字台,word,n,2026-03-15 14:56:30
three_3_syllable_words,1,trial_19,3,视网膜,word,y,2026-03-15 14:56:35
three_3_syllable_words,1,trial_19,cue,本,cue,y,2026-03-15 14:56:45
three_3_syllable_words,1,trial_20,1,锦标赛,word,y,2026-03-15 14:56:51
three_3_syllable_words,1,trial_20,2,西红柿,word,y,2026-03-15 14:56:56
three_3_syllable_words,1,trial_20,3,介绍信,word,y,2026-03-15 14:57:11
three_3_syllable_words,1,trial_20,cue,绍,cue,y,2026-03-15 14:57:14
three_3_syllable_words,1,trial_21,1,单细胞,word,y,2026-03-15 14:57:24
three_3_syllable_words,1,trial_21,2,笔记本,word,y,2026-03-15 14:57:30
three_3_syllable_words,1,trial_21,3,相对论,word,n,2026-03-15 14:57:37
three_3_syllable_words,1,trial_21,cue,对,cue,y,2026-03-15 14:57:40
three_3_syllable_words,1,trial_22,1,进行曲,word,n,2026-03-15 14:57:48
three_3_syllable_words,1,trial_22,2,蒸馏水,word,y,2026-03-15 14:57:54
three_3_syllable_words,1,trial_22,3,反动派,word,y,2026-03-15 14:58:00
three_3_syllable_words,1,trial_22,cue,水,cue,y,2026-03-15 14:58:04
three_3_syllable_words,1,trial_23,1,男籽汉,word,n,2026-03-15 14:58:10
three_3_syllable_words,1,trial_23,2,神经元,word,y,2026-03-15 14:58:15
three_3_syllable_words,1,trial_23,3,参谋掌,word,y,2026-03-15 14:58:20
three_3_syllable_words,1,trial_23,cue,籽,cue,n,2026-03-15 14:58:25
three_3_syllable_words,1,trial_24,1,青哨年,word,y,2026-03-15 14:58:31
three_3_syllable_words,1,trial_24,2,手榴弹,word,n,2026-03-15 14:58:36
three_3_syllable_words,1,trial_24,3,奴隶制,word,y,2026-03-15 14:58:43
three_3_syllable_words,1,trial_24,cue,年,cue,y,2026-03-15 14:58:46
three_3_syllable_words,1,trial_25,1,普通话,word,n,2026-03-15 14:58:51
three_3_syllable_words,1,trial_25,2,冷空气,word,y,2026-03-15 14:58:56
three_3_syllable_words,1,trial_25,3,淋巴结,word,n,2026-03-15 14:59:02
three_3_syllable_words,1,trial_25,cue,淋,cue,y,2026-03-15 14:59:04
three_3_syllable_words,1,trial_26,1,太阳能,word,y,2026-03-15 14:59:10
three_3_syllable_words,1,trial_26,2,自然界,word,y,2026-03-15 14:59:14
three_3_syllable_words,1,trial_26,3,冷空气,word,y,2026-03-15 14:59:20
three_3_syllable_words,1,trial_26,cue,空,cue,y,2026-03-15 14:59:23
three_3_syllable_words,1,trial_27,1,录音机,word,n,2026-03-15 14:59:29
three_3_syllable_words,1,trial_27,2,检察官,word,y,2026-03-15 14:59:33
three_3_syllable_words,1,trial_27,3,蒸馏水,word,y,2026-03-15 14:59:39
three_3_syllable_words,1,trial_27,cue,馏,cue,y,2026-03-15 14:59:42
three_3_syllable_words,1,trial_28,1,检察官,word,y,2026-03-15 14:59:47
three_3_syllable_words,1,trial_28,2,锦标赛,word,y,2026-03-15 14:59:52
three_3_syllable_words,1,trial_28,3,海平面,word,y,2026-03-15 14:59:57
